1070102	17.15
1070103	17.00
1070104	17.00
1070105	17.00
1070108	16.95
1070109	16.90
1070110	17.40
1070111	17.35
1070112	17.50
1070115	17.45
1070116	17.50
1070117	17.55
1070118	17.65
1070119	19.40
1070122	21.30
1070123	20.60
1070124	20.35
1070125	20.10
1070126	20.20
1070129	21.00
1070130	20.50
1070131	20.50
1070201	20.35
1070202	20.90
1070205	20.40
1070206	19.80
1070207	19.80
1070208	19.55
1070209	19.15
1070212	19.40
1070221	21.30
1070222	21.15
1070223	23.25
1070226	24.60
1070227	23.90
1070301	24.15
1070302	26.55
1070305	29.20
1070306	32.10
1070307	34.30
1070308	34.00
1070309	32.90
1070312	32.00
1070313	35.20
1070314	38.65
1070315	36.20
1070316	35.70
1070319	39.25
1070320	41.50
1070321	44.00
1070322	42.20
1070323	41.00
1070326	41.15
1070327	41.70
1070328	43.50
1070329	47.85
1070330	52.60
1070331	52.60
1070402	50.20
1070403	50.80
1070409	45.75
1070410	45.00
1070411	44.00
1070412	43.20
1070413	47.50
1070416	51.50
1070417	47.00
1070418	51.70
1070419	51.10
1070420	49.15
1070423	46.00
1070424	41.40
1070425	42.80
1070426	41.50
1070427	42.50
1070430	44.00
1070502	43.00
1070503	42.95
1070504	42.15
1070507	42.05
1070508	42.10
1070509	40.20
1070510	39.20
1070511	37.70
1070514	39.85
1070515	40.20
1070516	39.00
1070517	38.10
1070518	36.75
1070521	35.55
1070522	35.65
1070523	33.85
1070524	34.50
1070525	34.30
1070528	37.70
1070529	40.80
1070530	37.70
1070531	36.85
1070601	37.60
1070604	35.30
1070605	34.85
1070606	35.90
1070607	35.50
1070608	35.90
1070611	35.60
1070612	35.80
1070613	39.35
1070614	38.00
1070615	36.40
1070619	35.30
1070620	34.85
1070621	36.10
1070622	35.60
1070625	35.75
1070626	35.80
1070627	35.75
1070628	37.15
1070629	38.95
1070702	37.30
1070703	36.70
1070704	37.30
1070705	36.25
1070706	36.00
1070709	36.75
1070710	37.10
1070711	36.95
1070712	36.95
1070713	38.00
1070716	38.55
1070717	41.90
1070718	45.35
1070719	44.40
1070720	44.25
1070723	48.50
1070724	48.75
1070725	47.10
1070726	48.50
1070727	47.65
1070730	48.35
1070731	48.40
1070801	52.50
1070802	53.80
1070803	53.20
1070806	53.30
1070807	51.10
1070808	49.00
1070809	47.90
1070810	48.30
1070813	44.90
1070814	47.40
1070815	46.05
1070816	46.05
1070817	46.60
1070820	47.15
1070821	46.80
1070822	46.05
1070823	45.20
1070824	42.40
1070827	41.80
1070828	45.95
1070829	45.30
1070830	44.35
1070831	44.80
1070903	41.05
1070904	39.20
1070905	38.90
1070906	39.90
1070907	39.15
1070910	37.50
1070911	37.70
1070912	36.10
1070913	34.20
1070914	34.85
1070917	35.10
1070918	35.10
1070919	31.60
1070920	28.45
1070921	30.15
1070925	27.95
1070926	27.10
1070927	27.00
1070928	26.85
1071001	25.80
1071002	26.65
1071003	25.85
1071004	23.30
1071005	21.50
1071008	22.70
1071009	22.50
1071011	20.40
1071012	20.85
1071015	21.80
1071016	23.20
1071017	23.20
1071018	22.35
1071019	21.40
1071022	21.45
1071023	21.20
1071024	21.25
1071025	20.25
1071026	20.05
1071029	19.80
1071030	19.10
1071031	20.05
1071101	20.25
1071102	20.25
1071105	20.20
1071106	20.00
1071107	20.00
1071108	21.20
1071109	21.75
1071112	23.45
1071113	24.70
1071114	24.30
1071115	23.65
1071116	22.95
1071119	23.45
1071120	23.05
1071121	23.00
1071122	23.50
1071123	25.85
1071126	25.35
1071127	25.00
1071128	26.25
1071129	25.85
1071130	26.15
1071203	26.75
1071204	27.10
1071205	27.00
1071206	26.00
1071207	26.35
1071210	25.50
1071211	25.55
1071212	25.70
1071213	26.10
1071214	25.75
1071217	25.00
1071218	24.15
1071219	23.95
1071220	23.90
1071221	24.10
1071222	24.30
1071224	24.15
1071225	24.05
1071226	24.00
1071227	24.20
1071228	24.00
1080102	23.75
1080103	23.40
1080104	23.05
1080107	23.05
1080108	22.90
1080109	22.60
1080110	22.45
1080111	22.50
1080114	22.30
1080115	22.50
1080116	24.75
1080117	25.00
1080118	24.50
1080121	25.25
1080122	24.70
1080123	24.30
1080124	24.05
1080125	24.10
1080128	24.60
1080129	24.35
1080130	24.20
1080211	25.00
1080212	25.00
1080213	25.20
1080214	26.30
