1794	露絲科	4.05
1795	美時	72.0
1796	金穎生技	57.0
1799	易威	18.2
1802	台玻	17.55
1805	寶徠	14.85
1806	冠軍	8.01
1808	潤隆	61.9
1809	中釉	14.65
1810	和成	9.61
1813	寶利徠	19.45
1814	東光訊	9.53
1815	富喬	18.0
1816	富元	1.32
1817	凱撒衛	40.9
1818	願景	2.73
1819	豐鼎	16.69
1902	台紙	18.55
1903	士紙	32.0
1904	正隆	17.65
1905	華紙	10.65
1906	寶隆	23.15
1907	永豐餘	12.75
1909	榮成	32.1
2002	中鋼	23.2
2006	東和鋼鐵	24.1
2007	燁興	4.96
2008	高興昌	12.5
2009	第一銅	10.7
2010	春源	11.2
2012	春雨	19.95
2013	中鋼構	25.05
2014	中鴻	11.25
2015	豐興	58.0
2017	官田鋼	10.55
2020	美亞	15.8
2022	聚亨	6.22
2023	燁輝	10.2
2024	志聯	10.9
2025	千興	4.01
2027	大成鋼	32.3
2028	威致	11.05
2029	盛餘	25.9
2030	彰源	15.7
2031	新光鋼	40.8
2032	新鋼	10.15
2033	佳大	11.2
2034	允強	26.6
2035	唐榮	44.45
2038	海光	11.75
2049	上銀	421.5
2056	璋釔	5.86
2059	川湖	443.0
2060	永發	2.02
2061	風青	11.7
2062	橋椿	36.05
2063	世鎧	38.55
2064	晉椿	17.7
2065	世豐	26.8
2066	世德	77.0
2067	嘉鋼	14.8
2069	運錩	24.55
2070	精湛	45.44
2101	南港	25.8
2102	泰豐	12.3
2103	台橡	30.2
2104	中橡	47.15
2105	正新	44.95
2106	建大	33.1
2107	厚生	14.9
2108	南帝	26.9
2109	華豐	14.35
2113	中光橡	6.97
2114	鑫永銓	89.5
2115	六暉-KY	38.85
2201	裕隆	23.15
2204	中華	28.45
2206	三陽工業	21.7
2207	和泰車	268.5
2208	台船	18.5
2221	大甲	28.4
2227	裕日車	252.0
2228	劍麟	87.5
2229	富海	4.77
2230	泰茂	12.1
2231	為升	368.0
2233	宇隆	106.5
2235	謚源	67.1
2236	百達-KY	54.4
2237	華德動	23.39
2239	英利-KY	159.0
2241	艾姆勒	39.68
2243	宏旭-KY	31.6
2245	詠勝昌	39.2
2246	凱勝綠能	24.64
2247	汎德永業	245.0
2301	光寶科	38.5
2302	麗正	7.05
2303	聯電	16.4
2305	全友	9.46
2308	台達電	112.0
2312	金寶	9.76
2313	華通	33.55
2314	台揚	26.1
2316	楠梓電	15.9
2317	鴻海	87.4
2321	東訊	2.21
2323	中環	9.32
2324	仁寶	19.75
2327	國巨	1035.0
2328	廣宇	22.15
2329	華泰	9.55
2330	台積電	221.0
2331	精英	17.35
2332	友訊	14.8
2337	旺宏	49.45
2338	光罩	28.0
2340	光磊	23.3
2342	茂矽	47.45
2344	華邦電	19.8
2345	智邦	82.9
2347	聯強	46.85
2348	海悅	44.75
2349	錸德	14.0
2351	順德	80.1
2352	佳世達	20.75
2353	宏碁	23.9
2354	鴻準	74.2
2355	敬鵬	39.9
2356	英業達	23.75
2357	華碩	272.5
2358	廷鑫	21.6
2359	所羅門	23.2
2360	致茂	154.0
2362	藍天	31.75
2363	矽統	9.94
2364	倫飛	3.9
2365	昆盈	11.9
2367	燿華	23.45
2368	金像電	9.24
2369	菱生	12.75
2371	大同	22.8
2373	震旦行	90.4
2374	佳能	16.15
2375	智寶	49.25
2376	技嘉	78.6
2377	微星	121.0
2379	瑞昱	112.5
2380	虹光	6.4
2382	廣達	53.4
2383	台光電	80.7
2385	群光	70.7
2387	精元	15.5
2388	威盛	38.7
2390	云辰	10.4
2392	正崴	35.05
2393	億光	39.5
2395	研華	202.5
2397	友通	70.9
2399	映泰	18.0
2401	凌陽	15.65
2402	毅嘉	21.05
2404	漢唐	64.7
2405	浩鑫	17.6
2406	國碩	12.4
2408	南亞科	96.5
2409	友達	12.8
2412	中華電	108.5
2413	環科	24.3
2414	精技	21.3
2415	錩新	25.15
2417	圓剛	12.8
2419	仲琦	21.75
2420	新巨	35.3
2421	建準	39.05
2423	固緯	24.0
2424	隴華	25.3
2425	承啟	32.2
2426	鼎元	15.6
2427	三商電	11.05
2428	興勤	90.0
2429	銘旺科	12.6
2430	燦坤	24.5
