代號,名稱,開盤,最高,最低,收盤,成交量
'732698,茂達元大76購01,0.93,1.1,0.93,1,383
'732729,良維元大77購01,0.02,0.02,0.02,0.02,0
'732731,碩禾元大77購01,0.04,0.04,0.04,0.04,0
'732746,加百裕國泰76購01,0.05,0.05,0.05,0.05,0
'732758,同致元大77購01,0.04,0.04,0.04,0.04,0
'732779,邦特國泰76購01,1.93,1.93,1.93,1.93,0
'732832,同致兆豐76購01,0.01,0.01,0.01,0.01,0
'732834,台半國泰77購01,0.45,0.59,0.43,0.55,133
'732845,茂達日盛77購01,0.45,0.51,0.39,0.4,198
'732849,晶焱兆豐76購01,1.36,1.36,1.26,1.27,49
'732850,恒耀兆豐76購01,0.01,0.01,0.01,0.01,0
'732857,金居群益76購01,0.02,0.02,0.02,0.02,0
'732862,弘塑元大76購01,0.01,0.01,0.01,0.01,0
'732865,翔名元大76購01,0.22,0.22,0.22,0.22,40
'732873,譜瑞兆豐76購01,0.1,0.1,0.1,0.1,0
'732874,伍豐國泰76購01,0.02,0.02,0.02,0.02,50
'732875,原相元富77購01,0.03,0.03,0.03,0.03,60
'732876,環球晶台新76購01,4.35,4.35,4.35,4.35,5
'732878,胡連群益76購01,0.01,0.01,0.01,0.01,0
'732880,雙鴻凱基76購01,0.01,0.01,0.01,0.01,90
'732885,精華統一76購01,0.01,0.01,0.01,0.01,55
'732893,頎邦元大76購01,0.34,0.34,0.27,0.29,181
'732895,群聯中信77購01,0.02,0.02,0.02,0.02,0
'732896,精測中信77購01,0.01,0.01,0.01,0.01,0
'732897,頎邦台新76購01,0.33,0.33,0.33,0.33,0
'732901,群聯富邦76購01,0.01,0.01,0.01,0.01,0
'732905,勝麗兆豐76購01,0.01,0.01,0.01,0.01,0
'732906,原相元大77購02,0.09,0.1,0.09,0.1,11
'732909,網家群益76購01,0.01,0.01,0.01,0.01,0
'732922,中美晶國泰77購01,8.7,8.7,8.7,8.7,0
'732923,同致國泰77購03,0.01,0.01,0.01,0.01,0
'732927,威剛富邦77購01,0.1,0.1,0.1,0.1,0
'732929,原相元大78購01,0.43,0.43,0.43,0.43,100
'732931,萬潤元大77購01,0.48,0.54,0.48,0.54,475
'732932,聯亞元大76購01,0.02,0.02,0.02,0.02,0
'732935,精測統一76購01,0.01,0.01,0.01,0.01,0
'732937,精材兆豐76購01,0.37,0.37,0.36,0.36,22
'732939,譜瑞兆豐77購01,0.05,0.05,0.05,0.05,0
'732944,加百裕國泰78購01,0.24,0.35,0.24,0.34,928
'732950,精測台新76購01,0.01,0.01,0.01,0.01,0
'732957,金居元大78購01,0.5,0.5,0.5,0.5,0
'732970,雙鴻兆豐76購01,0.07,0.07,0.07,0.07,0
'732981,大江中信77購01,6.7,6.7,6.7,6.7,0
'732982,牧德中信76購01,11.1,11.1,11.1,11.1,0
'732991,濱川群益76購01,0.02,0.02,0.02,0.02,0
'732995,同致元大78購02,0.04,0.04,0.04,0.04,0
'732996,原相元大78購02,0.42,0.43,0.42,0.43,5
'732997,翔名元大78購01,0.22,0.24,0.22,0.24,45
'732998,翔名元大78購02,0.3,0.32,0.3,0.32,135
'732999,精測元大76購01,0.01,0.01,0.01,0.01,0
'733001,穩懋元大76購01,0.09,0.09,0.08,0.08,180
'733009,恒耀元富77購01,0.21,0.21,0.21,0.21,0
'733010,僑威元大77購01,0.05,0.05,0.05,0.05,0
'733011,網家元大76購01,0.11,0.17,0.11,0.17,77
'733015,宇隆國泰77購01,0.24,0.24,0.24,0.24,45
'733017,譜瑞富邦76購01,0.06,0.06,0.06,0.06,0
'733018,宇隆台新77購01,0.22,0.22,0.22,0.22,0
'733034,元太兆豐76購01,0.01,0.01,0.01,0.01,0
'733037,環球晶兆豐77購01,3.8,3.97,3.75,3.97,21
'733038,頎邦兆豐76購01,0.8,0.8,0.68,0.78,81
'733044,譜瑞台新78購01,0.06,0.06,0.06,0.06,0
'733045,大中群益76購01,0.03,0.03,0.03,0.03,0
'733047,合晶群益76購02,2.92,2.92,2.92,2.92,1
'733048,網家群益76購02,0.41,0.41,0.41,0.41,0
'733049,聯亞群益76購01,0.01,0.01,0.01,0.01,0
'733052,大江兆豐76購01,10.3,10.3,10.3,10.3,0
'733057,合晶元大76購01,3.97,4.26,3.97,4.26,20
'733088,環球晶中信78購01,2.47,2.88,2.4,2.87,309
'733104,宜特台新76購01,0.01,0.01,0.01,0.01,11
'733105,精材台新77購01,0.28,0.28,0.27,0.27,68
'733112,台半國泰76購01,0.8,0.8,0.8,0.8,0
'733113,同致國泰76購01,0.01,0.01,0.01,0.01,0
'733114,岳豐國泰76購02,0.01,0.01,0.01,0.01,0
'733118,良維國泰77購02,0.01,0.01,0.01,0.01,0
'733119,威剛國泰77購01,0.02,0.02,0.02,0.02,0
'733120,雙鴻國泰77購02,0.19,0.19,0.19,0.19,0
'733124,宜特兆豐76購01,0.01,0.01,0.01,0.01,0
'733132,宇峻元大76購01,0.13,0.13,0.13,0.13,0
'733134,網家元大76購02,0.61,0.78,0.61,0.78,922
'733136,雙鴻元大78購01,0.38,0.38,0.36,0.36,90
'733138,頎邦元大76購02,0.8,0.8,0.67,0.78,164
'733147,精材台新78購01,0.45,0.45,0.35,0.35,11
'733151,迅得群益76購01,0.15,0.15,0.15,0.15,0
'733163,良維國泰78購01,0.04,0.04,0.04,0.04,31
'733167,原相台新78購01,0.07,0.07,0.07,0.07,10
'733169,群聯元富77購01,0.09,0.09,0.09,0.09,0
'733172,同致元大76購02,0.04,0.04,0.04,0.04,0
'733183,原相富邦76購01,0.01,0.01,0.01,0.01,110
'733189,精材群益76購01,0.07,0.07,0.05,0.05,810
'733195,同致台新78購01,0.05,0.05,0.05,0.05,0
'733196,由田元大77購01,0.08,0.08,0.08,0.08,0
'733197,同致元大78購03,0.14,0.14,0.14,0.14,0
'733199,牧德元大78購01,6.9,6.9,6.9,6.9,0
'733204,智擎統一76購01,0.01,0.01,0.01,0.01,0
'733206,聯亞兆豐76購01,0.01,0.01,0.01,0.01,0
'733209,VHQ群益76購01,2.39,2.39,2.28,2.28,19
'733211,迅得群益76購02,0.03,0.03,0.03,0.03,0
'733213,濱川群益76購02,0.02,0.02,0.02,0.02,0
'733221,富喬台新78購01,0.76,0.79,0.76,0.79,2
'733224,富喬富邦76購01,0.78,0.78,0.78,0.78,0
'733229,東洋統一76購01,0.19,0.19,0.19,0.19,0
'733239,碩禾兆豐76購01,0.01,0.01,0.01,0.01,0
'733240,大中元大77購01,0.27,0.38,0.27,0.35,1216
'733243,晶焱元大78購01,0.97,1,0.93,1,425
'733245,濱川元大76購01,0.02,0.02,0.02,0.02,0
'733253,先進光日盛76購01,0.05,0.05,0.05,0.05,0
'733254,神盾日盛77購01,0.03,0.03,0.03,0.03,0
'733255,精材富邦76購01,0.1,0.1,0.1,0.1,0
'733256,環球晶中信76購01,1.28,1.65,1.25,1.62,402
'733260,神盾統一78購01,0.1,0.1,0.1,0.1,0
'733262,環球晶統一76購01,2.73,3.19,2.73,3.19,80
'733277,神盾元大76購01,0.01,0.01,0.01,0.01,0
'733278,神盾元大77購01,0.06,0.08,0.06,0.08,700
'733280,穩懋元大76購03,0.1,0.1,0.09,0.09,650
'733291,宇隆國泰78購01,0.23,0.23,0.23,0.23,0
'733297,神盾元富76購01,0.01,0.01,0.01,0.01,0
'733300,智擎台新78購01,0.03,0.03,0.03,0.03,20
'733322,網家兆豐76購01,0.9,0.9,0.9,0.9,0
'733326,雙鴻元大78購02,0.22,0.22,0.22,0.22,0
'733330,先進光中信77購01,0.01,0.01,0.01,0.01,0
'733332,群聯群益76購01,0.01,0.01,0.01,0.01,0
'733343,網家日盛76購01,0.69,0.76,0.69,0.76,50
'733346,鈊象玉山78購01,0.96,1.02,0.96,1.01,179
'733348,元太元大76購01,0.01,0.01,0.01,0.01,0
'733350,昂寶元大76購01,1.58,1.58,1.58,1.58,0
'733352,原相元大76購01,0.01,0.01,0.01,0.01,0
'733354,光燿科富邦79購01,0.08,0.08,0.08,0.08,0
'733355,神盾富邦76購01,0.1,0.1,0.1,0.1,0
'733359,頎邦中信79購01,0.61,0.61,0.61,0.61,0
'733360,環球晶玉山79購01,3.98,4.53,3.98,4.53,194
'733368,雙鴻凱基77購01,0.16,0.16,0.16,0.16,0
'733369,中美晶統一77購01,2.28,2.5,2.24,2.32,95
'733370,世界統一76購01,0.05,0.05,0.05,0.05,0
'733373,網家統一76購01,1.01,1.01,1.01,1.01,0
'733374,環球晶統一76購02,0.79,1.02,0.78,0.97,183
'733375,環球晶統一77購01,1.97,2.32,1.94,2.32,379
'733376,環球晶統一77購02,1.29,1.54,1.22,1.5,841
'733379,岳豐元大78購01,0.04,0.04,0.04,0.04,100
'733380,昂寶元大76購02,1.35,1.35,1.35,1.35,0
'733386,網家群益76購03,1.62,1.62,1.62,1.62,0
'733388,台燿元富77購01,0.8,0.84,0.8,0.84,325
'733403,邦特元大76購01,1.79,1.79,1.79,1.79,0
'733407,金居元大78購02,0.43,0.43,0.43,0.43,41
'733414,大江兆豐76購02,6.4,6.4,6.4,6.4,0
'733415,元太兆豐76購02,0.01,0.01,0.01,0.01,0
'733419,環球晶永昌76購01,7.05,7.05,7.05,7.05,1
'733420,同致富邦79購01,0.09,0.09,0.09,0.09,0
'733421,頎邦富邦76購01,0.64,0.64,0.59,0.59,20
'733432,原相元大77購03,0.03,0.03,0.03,0.03,15
'733436,原相統一76購01,0.08,0.08,0.08,0.08,0
