代號,名稱,開盤,最高,最低,收盤,成交量
'070399,劍麟凱基76購01,0.08,0.08,0.08,0.08,0
'07039P,臺股指麥證79售05,1,1,0.97,0.97,25
'070400,旺宏凱基79購03,7.05,7.05,7.05,7.05,0
'070401,晶電凱基79購03,0.6,0.61,0.59,0.6,345
'070402,晶電凱基79購04,0.87,0.96,0.87,0.91,686
'070403,長榮凱基76購01,0.03,0.03,0.03,0.03,0
'070404,富邦金凱基76購01,0.1,0.1,0.1,0.1,0
'070405,國泰金凱基76購01,0.07,0.07,0.07,0.07,50
'070406,創意凱基76購03,0.22,0.22,0.22,0.22,180
'070407,麗豐凱基76購01,5.85,5.85,5.85,5.85,10
'070408,鴻海日盛76購01,0.02,0.02,0.01,0.01,5824
'070409,GIS日盛76購02,0.06,0.06,0.06,0.06,157
'07040P,臺股指麥證79售06,0.73,0.73,0.68,0.68,600
'070410,宏全日盛76購01,0.02,0.02,0.02,0.02,0
'070411,欣興中信78購01,0.14,0.17,0.14,0.17,25
'070412,友達台新77購01,0.6,0.6,0.6,0.6,270
'070413,台積電永豐76購01,0.16,0.19,0.16,0.19,509
'070414,旺宏永豐76購07,0.47,0.47,0.47,0.47,0
'070415,台光電永豐76購01,0.01,0.01,0.01,0.01,0
'070416,美律永豐76購01,0.01,0.01,0.01,0.01,0
'070417,友達第一78購01,0.37,0.37,0.37,0.37,0
'070418,滬深2X群益76購03,0.01,0.01,0.01,0.01,0
'070419,和大群益77購01,0.72,0.72,0.72,0.72,199
'07041P,臺股指麥證7C售04,1.71,1.71,1.63,1.63,387
'070420,旺宏群益76購10,0.87,0.87,0.87,0.87,0
'070421,旺宏群益76購11,0.54,0.54,0.54,0.54,0
'070422,旺宏群益77購01,0.87,0.88,0.87,0.88,68
'070423,宏碁群益77購01,1.24,1.24,1.24,1.24,0
'070424,晶電群益77購05,0.15,0.15,0.15,0.15,0
'070425,晶電群益77購06,0.09,0.09,0.09,0.09,0
'070426,奇力新群益76購03,5.7,5.7,5.7,5.7,0
'070427,華擎群益76購02,0.3,0.3,0.29,0.3,96
'070428,綠悅元大76購02,0.03,0.03,0.03,0.03,0
'070429,華新元大77購01,4.74,4.74,4.74,4.74,0
'07042P,臺股指麥證7C售05,1.38,1.38,1.35,1.35,7
'070430,鴻海元大78購02,0.39,0.41,0.38,0.39,2663
'070431,台積電元大76購04,0.01,0.01,0.01,0.01,0
'070432,微星元大76購02,6.4,6.4,6.4,6.4,0
'070433,可成元大76購04,1.4,1.4,1.4,1.4,0
'070434,可成元大76購05,1.41,1.41,1.41,1.41,0
'070435,禾伸堂元大77購01,7.8,7.8,7.8,7.8,0
'070436,欣興元大76購01,0.19,0.21,0.19,0.21,204
'070437,臺股指元大76購13,0.17,0.17,0.17,0.17,0
'070438,智原國泰76購01,0.41,0.41,0.41,0.41,0
'070439,TPK富邦76購01,0.01,0.01,0.01,0.01,0
'07043P,臺股指麥證7C售06,1.12,1.12,1.12,1.12,100
