代號,名稱,開盤,最高,最低,收盤,成交量
'0050,元大台灣50,82.7,82.7,82.25,82.5,2681
'0050N,TW50淨,0,0,0,0,0
'0051,元大中型100,34.35,34.4,34.3,34.32,12
'0051N,TWMC淨,0,0,0,0,0
'0052,富邦科技,52.35,52.35,51.8,51.95,45
'0052N,TWIT淨,0,0,0,0,0
'0053,元大電子,36.42,36.49,36.37,36.37,4
'0054,元大台商50,24.76,24.76,24.58,24.58,6
'0055,元大MSCI金融,17.52,17.8,17.52,17.8,193
'0056,元大高股息,26.62,26.69,26.59,26.61,2587
'0057,富邦摩台,50.7,50.75,50.65,50.65,4
'0058,富邦發達,48,48.04,47.85,47.85,4
'0059,富邦金融,42.73,43.1,42.73,42.88,32
'0061,元大寶滬深,18.68,18.84,18.6,18.84,1279
'006201,元大富櫃50,14.76,14.76,14.61,14.61,14
'006203,元大MSCI台灣,38.48,38.55,38.47,38.47,5
'006204,永豐臺灣加權,55.2,55.2,55.2,55.2,48
'006205,富邦上証,31.22,31.29,31.08,31.29,2692
'006206,元大上證50,31.19,31.35,31.15,31.35,497
'006207,FH滬深,23.72,23.9,23.68,23.9,310
'006208,富邦台50,48.09,48.09,48.09,48.09,40
'00625K,富邦上証+R,6.75,6.75,6.75,6.75,50
'00631L,元大台灣50正2,37.91,37.92,37.44,37.66,932
'00632R,元大台灣50反1,12.4,12.48,12.4,12.44,41730
'00633L,富邦上証正2,42.83,43.27,42.5,43.27,22824
'00634R,富邦上証反1,7.08,7.09,7.05,7.05,185
'00635U,元大S&P黃金,19.73,19.75,19.71,19.71,98
'00636,國泰中國A50,20.44,20.52,20.36,20.52,3355
'00636K,國泰中國A50+U,6.89,6.9,6.89,6.9,2
'00637L,元大滬深300正2,16.22,16.36,16.09,16.36,107218
'00638R,元大滬深300反1,14.43,14.49,14.37,14.37,118
'00639,富邦深100,11.17,11.26,11.15,11.26,2521
'00640L,富邦日本正2,24.4,24.41,24.27,24.31,386
'00641R,富邦日本反1,14.35,14.39,14.31,14.39,200
'00642U,元大S&P石油,19.96,20,19.95,19.97,1829
'00643,群益深証中小,14.9,15.01,14.82,15.01,1465
'00643K,群益深証中小+R,3.18,3.18,3.18,3.18,0
'00645,富邦日本,22.64,22.64,22.52,22.6,80
'00646,元大S&P500,24.6,24.63,24.6,24.6,97
'00647L,元大S&P500正2,31.83,31.83,31.76,31.79,64
'00648R,元大S&P500反1,13.41,13.42,13.39,13.41,382
'00649,FH香港,22.15,22.25,22.15,22.25,62
'00650L,FH香港正2,37.97,38.06,37.8,37.95,57
'00651R,FH香港反1,8.02,8.03,7.95,8.02,390
'00652,富邦印度,22.66,22.66,22.59,22.65,39
'00653L,富邦印度正2,28.18,28.18,27.94,27.94,151
'00654R,富邦印度反1,14.69,14.74,14.69,14.74,85
'00655L,國泰中國A50正2,31.44,31.76,31.21,31.76,11767
'00656R,國泰中國A50反1,13.46,13.51,13.4,13.4,60
'00657,國泰日經225,27.44,27.44,27.39,27.42,3
'00657K,國泰日經225+U,9.25,9.25,9.25,9.25,1
'00658L,國泰日本正2,36.27,36.27,36.14,36.27,8
'00659R,國泰日本反1,12.65,12.67,12.64,12.65,382
'00660,元大歐洲50,24.75,24.75,24.75,24.75,5
'00661,元大日經225,28.04,28.04,28.04,28.04,0
'00662,富邦NASDAQ,29.05,29.1,29.03,29.05,29
'00663L,國泰臺灣加權正2,35.9,35.9,35.46,35.64,145
'00664R,國泰臺灣加權反1,14,14.08,14,14.05,2017
'00665L,富邦恒生國企正2,34.48,34.48,34.03,34.31,236
'00666R,富邦恒生國企反1,12.65,12.65,12.64,12.64,3
'00667,元大韓國,24.02,24.02,24.02,24.02,2
'00668,國泰美國道瓊,25.79,25.82,25.67,25.68,25
'00668K,國泰美國道瓊+U,8.65,8.65,8.65,8.65,1
'00669R,國泰美國道瓊反1,13.71,13.74,13.71,13.73,650
'00670L,富邦NASDAQ正2,33.14,33.16,33.04,33.14,549
'00671R,富邦NASDAQ反1,14.23,14.24,14.21,14.23,96
'00672L,元大S&P原油正2,23.08,23.19,23.06,23.1,10206
'00673R,元大S&P原油反1,15.02,15.04,15,15.02,4524
'00674R,元大S&P黃金反1,19.29,19.29,19.29,19.29,1
'00675L,富邦臺灣加權正2,15.55,15.55,15.31,15.37,491
'00676R,富邦臺灣加權反1,7.59,7.64,7.59,7.62,867
'00677U,富邦VIX,6.56,6.58,6.55,6.56,35679
'00678,群益NBI生技,21.58,21.58,21.53,21.53,302
'00679B,元大美債20年,36.8,36.8,36.66,36.71,461
'00680L,元大美債20正2,18.9,18.9,18.8,18.8,2
'00681R,元大美債20反1,19.22,19.24,19.22,19.24,10
'00682U,元大美元指數,18.5,18.5,18.5,18.5,3
'00683L,元大美元指數正2,17.43,17.45,17.41,17.45,1181
'00684R,元大美元指數反1,20.64,20.64,20.59,20.59,6
'00685L,群益臺灣加權正2,13.54,13.54,13.43,13.46,30
'00686R,群益臺灣加權反1,8.29,8.3,8.29,8.3,101
'00687B,國泰20年美債,38.17,38.17,38.11,38.12,535
'00688L,國泰20年美債正2,19.05,19.05,19.05,19.05,200
'00689R,國泰20年美債反1,19.57,19.57,19.56,19.57,202
'00690,兆豐藍籌30,22.27,22.3,22.18,22.23,509
'00691R,兆豐藍籌30反1,16.69,16.74,16.67,16.74,4
'00692,富邦公司治理,21.35,21.36,21.25,21.27,668
'00693U,華頓S&P黃豆,19.54,19.57,19.4,19.55,890
'00694B,富邦美債1-3,39.32,39.32,39.16,39.16,301
'00695B,富邦美債7-10,37.88,37.88,37.78,37.78,301
'00696B,富邦美債20年,38.28,38.28,38.25,38.28,271
'00697B,元大美債7-10,37.16,37.28,37.16,37.23,334
'00698L,元大美債7-10正2,17.8,17.8,17.8,17.8,0
'00699R,元大美債7-10反1,20.46,20.46,20.46,20.46,0
'00700,富邦恒生國企,21.74,21.83,21.73,21.82,11
'00701,國泰臺灣低波動30,21.3,21.33,21.27,21.32,66
'00702,國泰標普低波高息,19.96,19.96,19.93,19.93,8
'00703,台新MSCI中國,22.69,22.77,22.58,22.76,1267
'00704L,台新MSCI台灣正2,21.85,21.85,21.75,21.75,12
'00705R,台新MSCI台灣反1,17.94,17.99,17.93,17.99,34
